,Biotype,JunctionScore,Count
698,antisense_RNA,86,0
699,antisense_RNA,87,0
700,antisense_RNA,88,0
701,antisense_RNA,89,0
702,antisense_RNA,90,0
703,antisense_RNA,91,0
704,antisense_RNA,92,0
705,antisense_RNA,93,0
706,antisense_RNA,94,0
158,antisense_RNA,95,1
159,antisense_RNA,96,1
160,antisense_RNA,97,3
161,antisense_RNA,98,3
162,antisense_RNA,99,12
163,antisense_RNA,100,14
