sample_id,aligner_name,variant_type,FN,FP,TP,Precision,Recall,F1-Score,organism,dataset
baruzzo_human_t3r2,STAR,insertion,50532,3801,14065,0.7872495242359349,0.21773456971685656,0.3411226849861007,Human,T3
baruzzo_human_t3r2,Subjunc,deletion,58849,44,660,0.9374999999986683,0.01109075938093379,0.021922176251115512,Human,T3
baruzzo_human_t3r2,Subjunc,insertion,63795,58,802,0.9325581395337994,0.012415437249407676,0.024504636605749565,Human,T3
baruzzo_human_t3r2,novoSplice,deletion,17025,10375,42484,0.8037231124311697,0.7139088205145321,0.7561583363948033,Human,T3
baruzzo_human_t3r2,novoSplice,insertion,19904,8779,44693,0.8358206163973513,0.6918742356456076,0.7570657830716625,Human,T3
baruzzo_human_t3r3,DRAGEN,deletion,16630,14239,43543,0.7535737773008766,0.7236301995911668,0.7382985031668454,Human,T3
baruzzo_human_t3r3,DRAGEN,insertion,19518,12855,45607,0.7801135780506863,0.7002994241842503,0.7380549729209758,Human,T3
baruzzo_human_t3r3,DeepSAP,deletion,10828,19684,49345,0.7148444856509479,0.8200521828727034,0.7638426644765637,Human,T3
baruzzo_human_t3r3,DeepSAP,insertion,12699,18431,52426,0.7398845562188529,0.8050057581573773,0.7710726414681963,Human,T3
baruzzo_human_t3r3,HISAT2,deletion,60173,0,0,0.0,0.0,0.0,Human,T3
baruzzo_human_t3r3,HISAT2,insertion,65125,0,0,0.0,0.0,0.0,Human,T3
baruzzo_human_t3r3,STAR,deletion,42406,5801,17767,0.7538611676849646,0.2952653183321374,0.4243321666343735,Human,T3
baruzzo_human_t3r3,STAR,insertion,50983,3700,14142,0.7926241452751489,0.21715163147792374,0.340906625188197,Human,T3
baruzzo_human_t3r3,Subjunc,deletion,59473,58,700,0.9234828496030033,0.011633124491050612,0.022976809809502778,Human,T3
baruzzo_human_t3r3,Subjunc,insertion,64291,64,834,0.928730512248409,0.012806142034548749,0.02526392315145294,Human,T3
baruzzo_human_t3r3,novoSplice,deletion,17298,10436,42875,0.8042430267674439,0.7125288750768499,0.7556131255812621,Human,T3
baruzzo_human_t3r3,novoSplice,insertion,20080,8618,45045,0.839405176751191,0.6916698656429836,0.7584099399026625,Human,T3
baruzzo_malaria_t1r1,DRAGEN,deletion,25,714,1278,0.6415662650599189,0.9808135072901145,0.7757207885957467,Malaria,T1
baruzzo_malaria_t1r1,DRAGEN,insertion,59,477,1432,0.7501309586166841,0.9604292421187388,0.8423529406835323,Malaria,T1
baruzzo_malaria_t1r1,DeepSAP,deletion,15,649,1288,0.6649457924622277,0.9884881043737617,0.7950617279137161,Malaria,T1
baruzzo_malaria_t1r1,DeepSAP,insertion,48,512,1443,0.7381074168794178,0.9678068410456285,0.8374927447204189,Malaria,T1
baruzzo_malaria_t1r1,HISAT2,deletion,46,714,1257,0.6377473363771498,0.9646968534144553,0.7678680508337234,Malaria,T1
baruzzo_malaria_t1r1,HISAT2,insertion,72,478,1419,0.7480231945172652,0.9517102615687782,0.8376623371690234,Malaria,T1
baruzzo_malaria_t1r1,STAR,deletion,25,651,1278,0.6625194401240734,0.9808135072901145,0.790841583676684,Malaria,T1
baruzzo_malaria_t1r1,STAR,insertion,75,558,1416,0.7173252279631624,0.9496981891341719,0.8173160168252609,Malaria,T1
baruzzo_malaria_t1r1,Subjunc,deletion,503,38,800,0.9546539379463549,0.6139677666917774,0.7473143386167685,Malaria,T1
baruzzo_malaria_t1r1,Subjunc,insertion,424,60,1067,0.9467613132201005,0.7156270959083061,0.815126049929211,Malaria,T1
baruzzo_malaria_t1r1,novoSplice,deletion,236,389,1067,0.732829670329167,0.8188795088251581,0.7734686475618685,Malaria,T1
baruzzo_malaria_t1r1,novoSplice,insertion,196,322,1295,0.8008658008653056,0.8685446009383846,0.8333333328336188,Malaria,T1
baruzzo_malaria_t1r2,DRAGEN,deletion,27,649,1274,0.6625065002596658,0.979246733281338,0.7903225801632816,Malaria,T1
baruzzo_malaria_t1r2,DRAGEN,insertion,52,409,1415,0.7757675438592239,0.9645535105651231,0.859920996162912,Malaria,T1
baruzzo_malaria_t1r2,DeepSAP,deletion,18,590,1283,0.6849973304854858,0.9861644888539691,0.8084436038005433,Malaria,T1
baruzzo_malaria_t1r2,DeepSAP,insertion,47,449,1420,0.7597645799888926,0.9679618268568726,0.8513189443508747,Malaria,T1
baruzzo_malaria_t1r2,HISAT2,deletion,49,650,1252,0.658254468979675,0.9623366641037953,0.7817670928671,Malaria,T1
baruzzo_malaria_t1r2,HISAT2,insertion,84,411,1383,0.7709030100330151,0.9427402862979258,0.848206071261637,Malaria,T1
baruzzo_malaria_t1r2,STAR,deletion,33,578,1268,0.6868905742141458,0.9746348962329173,0.8058468377731427,Malaria,T1
baruzzo_malaria_t1r2,STAR,insertion,68,504,1399,0.7351550183916263,0.9536468984315244,0.8302670618224165,Malaria,T1
baruzzo_malaria_t1r2,Subjunc,deletion,470,30,831,0.9651567944239662,0.6387394312062731,0.7687326544691194,Malaria,T1
baruzzo_malaria_t1r2,Subjunc,insertion,416,48,1051,0.9563239308453537,0.7164280845257557,0.8191738108892244,Malaria,T1
baruzzo_malaria_t1r2,novoSplice,deletion,235,334,1066,0.7614285714280276,0.8193697156027522,0.7893372819880546,Malaria,T1
baruzzo_malaria_t1r2,novoSplice,insertion,191,265,1276,0.8280337443213316,0.8698023176544855,0.8484042548188874,Malaria,T1
baruzzo_malaria_t1r3,DRAGEN,deletion,25,715,1254,0.6368715083795649,0.9804534792799214,0.7721674872068186,Malaria,T1
baruzzo_malaria_t1r3,DRAGEN,insertion,50,429,1455,0.7722929936301633,0.9667774086372314,0.8586603712968353,Malaria,T1
baruzzo_malaria_t1r3,DeepSAP,deletion,17,667,1262,0.6542249870395779,0.9867083659100964,0.7867830419140514,Malaria,T1
baruzzo_malaria_t1r3,DeepSAP,insertion,45,450,1460,0.7643979057587621,0.9700996677734418,0.8550512440160483,Malaria,T1
baruzzo_malaria_t1r3,HISAT2,deletion,36,718,1243,0.633860275369386,0.971853010163431,0.767283950138964,Malaria,T1
baruzzo_malaria_t1r3,HISAT2,insertion,71,434,1434,0.7676659528903813,0.9528239202651476,0.8502816478895144,Malaria,T1
baruzzo_malaria_t1r3,STAR,deletion,24,661,1255,0.6550104384130193,0.9812353401086933,0.7856025034317462,Malaria,T1
baruzzo_malaria_t1r3,STAR,insertion,66,534,1439,0.7293461733397216,0.956146179401358,0.827487061038192,Malaria,T1
baruzzo_malaria_t1r3,Subjunc,deletion,469,43,810,0.9495896834689923,0.6333072713052125,0.7598499057106192,Malaria,T1
baruzzo_malaria_t1r3,Subjunc,insertion,419,44,1086,0.9610619469018044,0.7215946843849026,0.8242884245569394,Malaria,T1
baruzzo_malaria_t1r3,novoSplice,deletion,231,358,1048,0.7453769559027416,0.8193901485529168,0.7806331466141312,Malaria,T1
