,Biotype,JunctionScore,Count
176,antisense_RNA,50,1
673,antisense_RNA,51,0
674,antisense_RNA,52,0
675,antisense_RNA,53,0
676,antisense_RNA,54,0
677,antisense_RNA,55,0
678,antisense_RNA,56,0
679,antisense_RNA,57,0
680,antisense_RNA,58,0
681,antisense_RNA,59,0
177,antisense_RNA,60,1
682,antisense_RNA,61,0
683,antisense_RNA,62,0
684,antisense_RNA,63,0
685,antisense_RNA,64,0
686,antisense_RNA,65,0
687,antisense_RNA,66,0
688,antisense_RNA,67,0
689,antisense_RNA,68,0
178,antisense_RNA,69,1
690,antisense_RNA,70,0
691,antisense_RNA,71,0
692,antisense_RNA,72,0
693,antisense_RNA,73,0
694,antisense_RNA,74,0
695,antisense_RNA,75,0
696,antisense_RNA,76,0
697,antisense_RNA,77,0
179,antisense_RNA,78,2
698,antisense_RNA,79,0
699,antisense_RNA,80,0
700,antisense_RNA,81,0
701,antisense_RNA,82,0
702,antisense_RNA,83,0
703,antisense_RNA,84,0
704,antisense_RNA,85,0
705,antisense_RNA,86,0
706,antisense_RNA,87,0
180,antisense_RNA,88,1
707,antisense_RNA,89,0
708,antisense_RNA,90,0
709,antisense_RNA,91,0
710,antisense_RNA,92,0
711,antisense_RNA,93,0
181,antisense_RNA,94,1
712,antisense_RNA,95,0
713,antisense_RNA,96,0
714,antisense_RNA,97,0
182,antisense_RNA,98,4
183,antisense_RNA,99,7
184,antisense_RNA,100,18
